Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3340-4937-2120-53828..1,"Feb 1, 2026",10:29:00 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,92132,SEK,-3.36,0.706510,DKK,-2.38,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3305-3413-3566-08745..0,"Feb 1, 2026",10:42:59 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,52336,SEK,22.40,0.706510,DKK,15.83,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3305-3413-3566-08745..0,"Feb 1, 2026",10:42:59 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,52336,SEK,-3.36,0.706510,DKK,-2.38,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3387-8720-3306-21873..1,"Feb 1, 2026",10:43:24 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,9903TA,EUR,1.98,7.469200,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3387-8720-3306-21873..1,"Feb 1, 2026",10:43:24 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,9903TA,EUR,-0.30,7.469200,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3371-9865-1757-11872..0,"Feb 1, 2026",11:50:59 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,2010,NOK,24.00,0.653960,DKK,15.70,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3371-9865-1757-11872..0,"Feb 1, 2026",11:50:59 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,2010,NOK,-3.60,0.653960,DKK,-2.36,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3329-0184-6816-97050..4,"Feb 1, 2026",11:54:50 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,9700,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3329-0184-6816-97050..4,"Feb 1, 2026",11:54:50 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,9700,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3347-2141-5861-66133,"Feb 1, 2026",12:09:21 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,cheetah,DK,,3400,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,In-app
