Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3358-0494-5496-73278..6,"Apr 1, 2026",12:07:18 AM PDT,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,,3910,AUD,3.63,4.460300,DKK,16.19,prosub,,4994183596643847628,Yes,,,,
GPA.3358-0494-5496-73278..6,"Apr 1, 2026",12:07:18 AM PDT,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,,3910,AUD,-0.54,4.460300,DKK,-2.41,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3329-7839-2088-66323..9,"Apr 1, 2026",12:42:07 AM PDT,,Charge,,Pro Subscription (Scrabble GO Cheat),com.deepinkcode.scrabblegocheat,Subscription,prosub,,GB,,AL4 8FH,GBP,1.66,8.564400,DKK,14.22,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3329-7839-2088-66323..9,"Apr 1, 2026",12:42:07 AM PDT,,Google fee,,Pro Subscription (Scrabble GO Cheat),com.deepinkcode.scrabblegocheat,Subscription,prosub,,GB,,AL4 8FH,GBP,-0.25,8.564400,DKK,-2.14,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3390-6259-6655-09123..5,"Apr 1, 2026",1:15:27 AM PDT,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,2981 BJ,EUR,1.98,7.472500,DKK,14.80,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3390-6259-6655-09123..5,"Apr 1, 2026",1:15:27 AM PDT,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,2981 BJ,EUR,-0.30,7.472500,DKK,-2.25,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3398-0633-6203-82734,"Apr 1, 2026",1:22:02 AM PDT,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,dm3q,AU,,5333,AUD,3.63,4.474400,DKK,16.24,prosub,,4994183596643847628,Yes,,,,In-app
GPA.3398-0633-6203-82734,"Apr 1, 2026",1:22:02 AM PDT,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,dm3q,AU,,5333,AUD,-0.54,4.474400,DKK,-2.42,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3393-3496-3819-02224..4,"Apr 1, 2026",2:15:45 AM PDT,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,AU,TAS,7005,AUD,3.63,4.469700,DKK,16.22,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3393-3496-3819-02224..4,"Apr 1, 2026",2:15:45 AM PDT,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,AU,TAS,7005,AUD,-0.54,4.469700,DKK,-2.41,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3304-1612-5917-77091,"Apr 1, 2026",2:23:52 AM PDT,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,a55x,NL,,3297 CP,EUR,1.98,7.472500,DKK,14.80,prosubmonth,,4994183596643847628,Yes,,,,In-app
GPA.3304-1612-5917-77091,"Apr 1, 2026",2:23:52 AM PDT,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,a55x,NL,,3297 CP,EUR,-0.30,7.472500,DKK,-2.25,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3394-2196-0843-78056..4,"Apr 1, 2026",2:54:17 AM PDT,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,8581,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3394-2196-0843-78056..4,"Apr 1, 2026",2:54:17 AM PDT,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,8581,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3305-0981-8475-04645,"Apr 1, 2026",3:38:07 AM PDT,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,a52sxq,NL,,2611BZ,EUR,1.98,7.472400,DKK,14.80,prosubmonth,,4994183596643847628,Yes,,,,In-app
